CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;DT_VALIDADE;CD_UNI_PRO;DS_UNIDADE
798579;1504;19K0326;2021-11-30;48440;AMP6MG
803069;1504;19K0326;2021-11-30;48440;AMP6MG
804672;1504;19K0326;2021-11-30;48440;AMP6MG
802253;1504;19K0326;2021-11-30;48440;AMP6MG
796874;1504;19K0326;2021-11-30;48440;AMP6MG
802057;1504;19K0326;2021-11-30;48440;AMP6MG
804440;1504;19K0326;2021-11-30;48440;AMP6MG
796648;1504;19K0326;2021-11-30;48440;AMP6MG
797714;1504;19K0326;2021-11-30;48440;AMP6MG
802352;1504;19K0326;2021-11-30;48440;AMP6MG
802150;1504;19K0326;2021-11-30;48440;AMP6MG
794421;1504;19K0326;2021-11-30;48440;AMP6MG
793281;1504;19K0326;2021-11-30;48440;AMP6MG
793777;1504;19K0326;2021-11-30;48440;AMP6MG
788310;1504;19K0326;2021-11-30;48440;AMP6MG
788222;1504;19K0326;2021-11-30;48440;AMP6MG
783141;1504;19K0326;2021-11-30;48440;AMP6MG
794748;1504;19K0326;2021-11-30;48440;AMP6MG
789954;1504;19K0326;2021-11-30;48440;AMP6MG
786334;1504;19K0326;2021-11-30;48440;AMP6MG
778188;1504;19K0326;2021-11-30;48440;AMP6MG
787536;1504;19K0326;2021-11-30;48440;AMP6MG
762193;1504;19K0326;2021-11-30;48440;AMP6MG
763526;1504;19K0326;2021-11-30;48440;AMP6MG
735017;1504;19K0326;2021-11-30;48440;AMP6MG
726404;1504;19K0326;2021-11-30;48440;AMP6MG
728288;1504;19K0326;2021-11-30;48440;AMP6MG
726180;1504;19K0326;2021-11-30;48440;AMP6MG
741151;1504;19K0326;2021-11-30;48440;AMP6MG
738564;1504;19K0326;2021-11-30;48440;AMP6MG
737383;1504;19K0326;2021-11-30;48440;AMP6MG
742106;1504;19K0326;2021-11-30;48440;AMP6MG
751560;1504;19K0326;2021-11-30;48440;AMP6MG
755108;1504;19K0326;2021-11-30;48440;AMP6MG
721737;1504;19K0326;2021-11-30;48440;AMP6MG
714651;1504;19K0326;2021-11-30;48440;AMP6MG
716321;1504;19K0326;2021-11-30;48440;AMP6MG
688460;1504;19K0326;2021-11-30;48440;AMP6MG
696084;1504;19K0326;2021-11-30;48440;AMP6MG
698519;1504;19K0326;2021-11-30;48440;AMP6MG
827672;1504;20A0111;2022-01-30;48440;AMP6MG
818428;1504;20A0111;2022-01-30;48440;AMP6MG
773420;1504;20A0111;2022-01-30;48440;AMP6MG
764232;1504;20A0111;2022-01-30;48440;AMP6MG
