CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;CD_UNI_PRO;DT_VALIDADE;DS_UNIDADE
740267;57277;JGL5900;34513;30/06/2022;CP1MG
729363;57277;KDL0701;34513;30/03/2023;CP1MG
741999;57277;KDL0701;34513;30/03/2023;CP1MG
748848;57277;KDL0701;34513;30/03/2023;CP1MG
715880;57277;KDL0700;34513;30/03/2023;CP1MG
707231;57277;JGL5902;34513;30/06/2022;CP1MG
707230;57277;JBL2P00;34513;30/01/2022;CP1MG
708784;57277;JGL5900;34513;30/06/2022;CP1MG
706932;57277;JJL6B00;34513;31/10/2022;CP1MG
706931;57277;KDL0700;34513;30/03/2023;CP1MG
706807;57277;IKL3602;34513;30/10/2021;CP1MG
723629;57277;KDL0700;34513;30/03/2023;CP1MG
712416;57277;KDL0700;34513;30/03/2023;CP1MG
708275;57277;JJL6B00;34513;31/10/2022;CP1MG
690913;57277;JGL5902;34513;30/06/2022;CP1MG
704856;57277;KDL0700;34513;30/03/2023;CP1MG
691364;57277;JJL6B00;34513;31/10/2022;CP1MG
695904;57277;JJL6B01;34513;31/10/2022;CP1MG
676624;57277;JBL2N01;34513;30/01/2022;CP1MG
669959;57277;JBL2P00;34513;30/01/2022;CP1MG
674215;57277;JBL2P00;34513;30/01/2022;CP1MG
674128;57277;JBL2N00;34513;30/01/2022;CP1MG
666767;57277;JBL2N00;34513;30/01/2022;CP1MG
660214;57277;JBL2P00;34513;30/01/2022;CP1MG
654403;57277;IKL3602;34513;30/10/2021;CP1MG
644045;57277;IKL3602;34513;30/10/2021;CP1MG
646879;57277;JBL2P00;34513;30/01/2022;CP1MG
633101;57277;IKL3601;34513;30/10/2021;CP1MG
632162;57277;IKL3601;34513;30/10/2021;CP1MG
629697;57277;IKL3601;34513;30/10/2021;CP1MG
679233;65977;0000;51206;30/06/2026;FRASCO 30ML
696512;79042;19110699;64263;30/11/2021;GTS100
810735;71990;ABQ4514;57228;30/04/2023;MILIGRAMA
744914;70944;1T1684;56188;30/08/2022;FR120ML
744913;70944;1P6687;56188;30/04/2022;FR120ML
825834;73725;21E03N12;58942;30/04/2023;FR1000ML
824505;73725;20J12N11;58942;30/09/2022;FR1000ML
824504;73725;21A18N50;58942;30/12/2022;FR1000ML
826391;73725;21A18N50;58942;30/12/2022;FR1000ML
817148;73725;21B10N20;58942;31/01/2023;FR1000ML
826271;73725;21D07N52;58942;31/03/2023;FR1000ML
826270;73725;21E03N12;58942;30/04/2023;FR1000ML
802488;73725;21A18N50;58942;30/12/2022;FR1000ML
824564;73725;21D07N52;58942;30/03/2023;FR1000ML
824425;73725;21A18N50;58942;30/12/2022;FR1000ML
819921;73725;21D07N52;58942;31/03/2023;FR1000ML
820756;73725;21D07N52;58942;30/03/2023;FR1000ML
805318;73725;21A18N50;58942;30/12/2022;FR1000ML
811461;73725;20L04N40;58942;30/11/2022;FR1000ML
774238;73725;21A18N50;58942;30/12/2022;FR1000ML
782285;73725;20K06N12;58942;30/10/2022;FR1000ML
794013;73725;20K06N12;58942;30/10/2022;FR1000ML
792340;73725;21A18N50;58942;30/12/2022;FR1000ML
792339;73725;20L04N40;58942;30/11/2022;FR1000ML
792191;73725;20K06N12;58942;30/10/2022;FR1000ML
781344;73725;20A30N20;58942;30/12/2021;FR1000ML
778372;73725;21A18N50;58942;30/12/2022;FR1000ML
783227;73725;21A18N50;58942;30/12/2022;FR1000ML
773986;73725;21A18N50;58942;30/12/2022;FR1000ML
791796;73725;20J12N11;58942;30/09/2022;FR1000ML
773306;73725;21A18N50;58942;30/12/2022;FR1000ML
772622;73725;20L04N40;58942;30/11/2022;FR1000ML
768097;73725;20L04N40;58942;30/11/2022;FR1000ML
769331;73725;20K06N40;58942;30/10/2022;FR1000ML
771055;73725;21A18N50;58942;30/12/2022;FR1000ML
767381;73725;20L04N40;58942;30/11/2022;FR1000ML
771994;73725;21A18N50;58942;30/12/2022;FR1000ML
766932;73725;20L04N40;58942;30/11/2022;FR1000ML
768685;73725;20L04N40;58942;30/11/2022;FR1000ML
767547;73725;20K06N40;58942;30/10/2022;FR1000ML
763573;73725;20K06N12;58942;30/10/2022;FR1000ML
763572;73725;20J12N11;58942;30/09/2022;FR1000ML
766349;73725;20K06N12;58942;30/10/2022;FR1000ML
773034;73725;20L04N40;58942;30/11/2022;FR1000ML
762339;73725;20K06N12;58942;30/10/2022;FR1000ML
762414;73725;20F05N21;58942;30/05/2022;FR1000ML
